time, episodes, frames, mean-epr, run-loss
00h-00m-12s, 31, 10000, 0.33, -8.25
00h-00m-24s, 68, 20000, 0.62, -4.22
00h-00m-36s, 109, 30000, 0.90, -2.20
00h-00m-48s, 151, 40000, 0.93, -2.57
00h-01m-00s, 192, 50000, 1.15, -0.70
00h-01m-12s, 237, 60000, 1.09, -0.54
00h-01m-24s, 273, 70000, 1.09, -0.79
00h-01m-36s, 320, 80000, 1.11, -0.80
00h-01m-48s, 361, 90000, 1.17, -0.58
00h-02m-00s, 395, 100000, 1.19, -0.45
00h-02m-12s, 438, 110000, 1.18, -0.89
00h-02m-24s, 480, 120000, 1.34, 0.29
00h-02m-36s, 516, 130000, 1.33, -0.18
00h-02m-48s, 555, 140000, 1.30, -0.22
00h-03m-00s, 597, 150000, 1.31, 0.72
00h-03m-12s, 634, 160000, 1.38, 0.64
00h-03m-24s, 674, 170000, 1.33, 0.01
00h-03m-36s, 714, 180000, 1.25, -0.35
00h-03m-48s, 756, 190000, 1.28, 0.45
00h-04m-00s, 794, 200000, 1.29, 0.74
00h-04m-13s, 840, 210000, 1.26, -0.04
00h-04m-25s, 883, 220000, 1.16, -0.30
00h-04m-38s, 927, 230000, 1.18, 0.28
00h-04m-49s, 968, 240000, 1.17, 0.22
00h-05m-01s, 1012, 250000, 1.11, 0.14
00h-05m-14s, 1048, 260000, 1.24, 0.75
00h-05m-26s, 1093, 270000, 1.26, -0.04
00h-05m-38s, 1129, 280000, 1.31, 0.07
00h-05m-50s, 1166, 290000, 1.35, 0.89
00h-06m-02s, 1207, 300000, 1.33, 0.17
00h-06m-15s, 1240, 310000, 1.52, 1.81
00h-06m-27s, 1278, 320000, 1.66, 1.41
00h-06m-39s, 1314, 330000, 1.69, 1.16
00h-06m-51s, 1355, 340000, 1.59, 1.14
00h-07m-03s, 1392, 350000, 1.64, 1.50
00h-07m-16s, 1430, 360000, 1.64, 0.76
00h-07m-28s, 1472, 370000, 1.65, 0.30
00h-07m-40s, 1510, 380000, 1.51, 0.01
00h-07m-52s, 1548, 390000, 1.49, 0.04
00h-08m-05s, 1585, 400000, 1.49, 1.34
00h-08m-17s, 1625, 410000, 1.44, -0.08
00h-08m-29s, 1666, 420000, 1.39, 0.68
00h-08m-42s, 1705, 430000, 1.47, 0.42
00h-08m-54s, 1742, 440000, 1.47, -0.19
00h-09m-06s, 1780, 450000, 1.58, 0.49
00h-09m-17s, 1816, 460000, 1.62, 1.14
00h-09m-30s, 1854, 470000, 1.69, 0.49
00h-09m-42s, 1893, 480000, 1.63, 0.16
00h-09m-54s, 1935, 490000, 1.53, 0.88
00h-10m-06s, 1973, 500000, 1.54, 0.45
00h-10m-18s, 2016, 510000, 1.41, -0.28
00h-10m-30s, 2053, 520000, 1.49, 0.91
00h-10m-43s, 2089, 530000, 1.60, 2.31
00h-10m-55s, 2128, 540000, 1.55, 1.28
00h-11m-08s, 2171, 550000, 1.54, 1.22
00h-11m-32s, 2252, 570000, 1.40, 0.78
00h-11m-44s, 2294, 580000, 1.35, -0.13
00h-11m-56s, 2339, 590000, 1.36, 0.75
00h-12m-09s, 2377, 600000, 1.26, -0.20
00h-12m-20s, 2422, 610000, 1.17, -0.24
00h-12m-33s, 2459, 620000, 1.18, 0.97
00h-12m-45s, 2500, 630000, 1.18, 0.72
00h-12m-57s, 2549, 640000, 1.12, 0.08
00h-13m-10s, 2586, 650000, 1.12, 0.33
00h-13m-22s, 2624, 660000, 1.30, 0.76
00h-13m-34s, 2664, 670000, 1.38, 1.28
00h-13m-46s, 2701, 680000, 1.43, 0.59
00h-13m-58s, 2736, 690000, 1.53, 0.90
00h-14m-10s, 2779, 700000, 1.48, 0.33
00h-14m-23s, 2817, 710000, 1.45, 0.09
00h-14m-35s, 2854, 720000, 1.52, 0.30
00h-14m-47s, 2889, 730000, 1.83, 1.29
00h-14m-59s, 2930, 740000, 1.63, -0.45
00h-15m-11s, 2970, 750000, 1.66, 0.42
00h-15m-23s, 3012, 760000, 1.49, -0.62
00h-15m-36s, 3045, 770000, 1.47, -0.19
00h-15m-47s, 3082, 780000, 1.63, 0.28
00h-16m-00s, 3119, 790000, 1.69, 0.10
00h-16m-12s, 3156, 800000, 1.72, 0.41
00h-16m-24s, 3189, 810000, 1.82, 0.94
00h-16m-36s, 3225, 820000, 1.89, 0.18
00h-16m-48s, 3262, 830000, 1.89, -0.66
00h-17m-00s, 3298, 840000, 1.87, 0.92
00h-17m-12s, 3336, 850000, 1.78, 0.18
00h-17m-25s, 3372, 860000, 1.78, 0.26
00h-17m-37s, 3407, 870000, 1.86, 0.55
00h-17m-49s, 3447, 880000, 1.86, 0.15
00h-18m-01s, 3483, 890000, 1.89, -0.27
00h-18m-13s, 3524, 900000, 1.74, -0.77
00h-18m-26s, 3555, 910000, 1.75, -1.18
00h-18m-38s, 3592, 920000, 1.86, -0.80
