
time 00h 00m 04s, episodes 0, frames 1000, mean epr 0.00, run loss 0.00
time 00h 00m 10s, episodes 0, frames 2000, mean epr 0.00, run loss 0.00
time 00h 00m 14s, episodes 0, frames 3000, mean epr 0.00, run loss 0.00
time 00h 00m 19s, episodes 5, frames 4000, mean epr 0.00, run loss -13.02
time 00h 00m 24s, episodes 11, frames 5000, mean epr 0.06, run loss -12.19
time 00h 00m 29s, episodes 16, frames 6000, mean epr 0.13, run loss -11.25
time 00h 00m 34s, episodes 19, frames 7000, mean epr 0.20, run loss -10.41
time 00h 00m 39s, episodes 20, frames 8000, mean epr 0.21, run loss -10.30
time 00h 00m 43s, episodes 29, frames 9000, mean epr 0.28, run loss -9.24
time 00h 00m 49s, episodes 33, frames 10000, mean epr 0.28, run loss -9.13
time 00h 00m 53s, episodes 36, frames 11000, mean epr 0.33, run loss -8.67
time 00h 00m 59s, episodes 40, frames 12000, mean epr 0.36, run loss -8.24
time 00h 01m 04s, episodes 45, frames 13000, mean epr 0.39, run loss -7.73
time 00h 01m 08s, episodes 50, frames 14000, mean epr 0.41, run loss -7.33
time 00h 01m 14s, episodes 53, frames 15000, mean epr 0.43, run loss -6.94
time 00h 01m 19s, episodes 56, frames 16000, mean epr 0.48, run loss -6.51
time 00h 01m 23s, episodes 60, frames 17000, mean epr 0.51, run loss -5.99
time 00h 01m 29s, episodes 68, frames 18000, mean epr 0.54, run loss -6.16
time 00h 01m 33s, episodes 71, frames 19000, mean epr 0.55, run loss -6.00
time 00h 01m 39s, episodes 73, frames 20000, mean epr 0.55, run loss -5.97
time 00h 01m 43s, episodes 79, frames 21000, mean epr 0.60, run loss -5.74
time 00h 01m 48s, episodes 83, frames 22000, mean epr 0.59, run loss -6.04
time 00h 01m 53s, episodes 86, frames 23000, mean epr 0.60, run loss -5.81
time 00h 01m 59s, episodes 91, frames 24000, mean epr 0.63, run loss -5.59
time 00h 02m 04s, episodes 95, frames 25000, mean epr 0.69, run loss -4.37
time 00h 02m 09s, episodes 97, frames 26000, mean epr 0.70, run loss -4.03
time 00h 02m 14s, episodes 104, frames 27000, mean epr 0.72, run loss -3.82
time 00h 02m 20s, episodes 110, frames 28000, mean epr 0.73, run loss -4.19
