time, episodes, frames, mean-epr, run-loss
00h-00m-50s, 29, 10000, 0.32, -4.10
00h-01m-40s, 72, 20000, 0.67, -2.63
00h-02m-32s, 117, 30000, 0.78, -2.01
00h-03m-24s, 161, 40000, 0.96, -0.90
00h-04m-16s, 203, 50000, 0.98, -0.84
00h-05m-09s, 240, 60000, 1.21, 1.20
00h-06m-00s, 277, 70000, 1.39, 1.91
00h-06m-51s, 316, 80000, 1.44, 0.63
00h-07m-43s, 353, 90000, 1.52, 0.62
00h-08m-35s, 388, 100000, 1.65, 1.56
00h-09m-26s, 426, 110000, 1.64, 1.46
00h-10m-18s, 467, 120000, 1.60, 0.81
00h-11m-10s, 507, 130000, 1.54, 1.44
00h-12m-01s, 549, 140000, 1.40, 0.74
00h-12m-53s, 588, 150000, 1.41, 1.26
00h-13m-45s, 633, 160000, 1.33, 0.45
00h-14m-38s, 676, 170000, 1.26, 0.68
00h-15m-30s, 719, 180000, 1.20, 0.21
00h-16m-22s, 757, 190000, 1.32, 0.61
00h-17m-13s, 798, 200000, 1.26, 0.76
00h-18m-05s, 834, 210000, 1.45, 1.17
00h-18m-56s, 871, 220000, 1.58, 0.44
00h-19m-48s, 912, 230000, 1.49, 0.68
00h-20m-41s, 954, 240000, 1.49, 0.43
00h-21m-32s, 997, 250000, 1.44, 0.35
00h-22m-23s, 1041, 260000, 1.26, 0.69
00h-23m-16s, 1083, 270000, 1.19, 0.23
00h-24m-08s, 1124, 280000, 1.22, 0.47
00h-25m-00s, 1160, 290000, 1.38, 0.39
00h-25m-52s, 1200, 300000, 1.47, 1.19
00h-26m-43s, 1238, 310000, 1.54, 1.25
00h-27m-34s, 1272, 320000, 1.65, 1.42
00h-28m-27s, 1311, 330000, 1.60, 0.67
00h-29m-18s, 1346, 340000, 1.68, 0.55
00h-30m-10s, 1386, 350000, 1.74, 0.76
00h-31m-02s, 1424, 360000, 1.71, 0.37
00h-31m-54s, 1461, 370000, 1.71, 0.28
00h-32m-46s, 1498, 380000, 1.75, 1.63
00h-34m-30s, 1582, 400000, 1.49, 0.27
00h-35m-21s, 1615, 410000, 1.62, 1.11
00h-36m-13s, 1655, 420000, 1.70, 1.07
00h-37m-04s, 1691, 430000, 1.67, 1.45
00h-37m-56s, 1728, 440000, 1.71, 0.61
00h-38m-48s, 1767, 450000, 1.66, 0.51
00h-39m-40s, 1811, 460000, 1.56, 0.29
00h-40m-32s, 1848, 470000, 1.50, 0.77
00h-41m-23s, 1884, 480000, 1.54, 0.88
00h-42m-15s, 1924, 490000, 1.54, -0.24
00h-43m-07s, 1965, 500000, 1.59, -0.11
00h-43m-59s, 1998, 510000, 1.66, 0.37
00h-44m-50s, 2034, 520000, 1.73, 0.04
00h-45m-42s, 2074, 530000, 1.74, -0.02
00h-46m-33s, 2108, 540000, 1.78, 0.46
00h-48m-17s, 2182, 560000, 1.82, -0.06
00h-49m-09s, 2220, 570000, 1.87, 0.78
00h-50m-01s, 2255, 580000, 1.76, 0.41
00h-50m-52s, 2293, 590000, 1.81, 0.55
00h-51m-45s, 2330, 600000, 1.79, 0.27
00h-52m-37s, 2366, 610000, 1.71, -0.06
00h-53m-29s, 2404, 620000, 1.78, -0.34
00h-54m-22s, 2440, 630000, 1.78, -0.08
00h-55m-15s, 2476, 640000, 1.93, -0.22
00h-56m-07s, 2512, 650000, 1.87, -0.11
00h-57m-00s, 2549, 660000, 1.88, -0.34
00h-57m-52s, 2583, 670000, 1.98, -0.86
00h-58m-45s, 2614, 680000, 2.02, -1.36
00h-59m-37s, 2653, 690000, 2.06, -1.12
01h-00m-29s, 2688, 700000, 2.02, -1.18
01h-01m-21s, 2728, 710000, 1.89, -1.60
